,Clustering Coefficient,Alive Clustering Coefficient,Average Path Length,Alive Average Path Length,Degree,Alive Degree,Unprocessed Messages,Alive Unprocessed Messages,Average Message Latency,Alive Average Message Latency,Partitions,Alive Partitions,Pollution,Alive Agents
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,1000
1,0.0,0.0,250.25025025025025,250.25025025025025,6.0,6.0,1000,1000,0.0,0.0,0,0,0.0,1000
2,0.5,0.5,125.37537537537537,125.37537537537537,8.504000000000019,8.504000000000019,2000,2000,0.0858166666666666,0.0858166666666666,0,0,0.0,1000
3,0.5791940018744143,0.5791940018744143,100.69638238238238,100.69638238238238,10.255999999999995,10.255999999999995,1922,1922,0.2437833333333334,0.2437833333333334,1,1,0.0,1000
4,0.6275363246495551,0.6275363246495551,82.71273473473474,82.71273473473474,12.919999999999995,12.919999999999995,2304,2304,0.46717857142857144,0.46717857142857144,1,1,0.0,1000
5,0.6535890981685618,0.6535890981685618,69.45365365365366,69.45365365365366,15.066000000000017,15.066000000000017,2746,2746,0.6105273809523807,0.6105273809523807,1,1,0.0,1000
6,0.6714036470058532,0.6714036470058532,57.152982982982984,57.152982982982984,17.787999999999997,17.787999999999997,3031,3031,0.7738912698412705,0.7738912698412705,1,1,0.0,1000
7,0.6831198498817003,0.6831198498817003,48.65329129129129,48.65329129129129,20.589999999999975,20.589999999999975,3281,3281,0.9550722222222221,0.9550722222222221,1,1,0.0,1000
8,0.6911843221004366,0.6911843221004366,42.7298058058058,42.7298058058058,23.290000000000035,23.290000000000035,3637,3637,1.1931821428571427,1.1931821428571427,1,1,0.0,1000
9,0.6978256132109736,0.6978256132109736,37.76219019019019,37.76219019019019,26.278000000000034,26.278000000000034,4012,4012,1.3505150793650798,1.3505150793650798,1,1,0.0,1000
10,0.7032695512268,0.7032695512268,33.0606026026026,33.0606026026026,29.198,29.198,4325,4325,1.5382699911199917,1.5382699911199917,1,1,0.0,1000
11,0.7070410147208592,0.7070410147208592,30.190954954954954,30.190954954954954,32.306000000000004,32.306000000000004,4653,4653,1.770648376623377,1.770648376623377,1,1,0.0,1000
12,0.7116156142452418,0.7116156142452418,27.365447447447448,27.365447447447448,35.45599999999989,35.45599999999989,5005,5005,2.0268634865134847,2.0268634865134847,1,1,0.0,1000
13,0.7149481274294496,0.7149481274294496,25.255665665665667,25.255665665665667,38.63800000000008,38.63800000000008,5407,5407,2.251293481518481,2.251293481518481,1,1,0.0,1000
14,0.7179844822173387,0.7179844822173387,23.46752952952953,23.46752952952953,41.951999999999956,41.951999999999956,5797,5797,2.428861957486957,2.428861957486957,1,1,0.0,1000
15,0.7192586226167123,0.7192586226167123,21.760884884884884,21.760884884884884,45.25599999999999,45.25599999999999,6203,6203,2.6938606421356415,2.6938606421356415,1,1,0.0,1000
16,0.7212792465721309,0.7212792465721309,20.029777777777777,20.029777777777777,48.47400000000007,48.47400000000007,6571,6571,2.904061376123876,2.904061376123876,1,1,0.0,1000
17,0.7231273198678057,0.7231273198678057,18.725877877877878,18.725877877877878,51.98400000000002,51.98400000000002,6958,6958,3.16171240124255,3.16171240124255,1,1,0.0,1000
