,Clustering Coefficient,Alive Clustering Coefficient,Average Path Length,Alive Average Path Length,Degree,Alive Degree,Unprocessed Messages,Alive Unprocessed Messages,Average Message Latency,Alive Average Message Latency,Partitions,Alive Partitions,Pollution,Alive Agents
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,1014
1,0.38830725416268874,0.38830725416268874,4.540883699286008,4.540883699286008,12.497041420118334,12.497041420118334,254,254,0.018408941485864562,0.018408941485864562,0,0,0.0,1014
2,0.38830725416268874,0.38830725416268874,4.540883699286008,4.540883699286008,13.080867850098626,13.080867850098626,506,506,0.017217291255752793,0.017217291255752793,0,0,0.0,1014
3,0.36694745738836454,0.36694745738836454,4.076738104834392,4.076738104834392,18.71597633136094,18.71597633136094,516,516,0.01285847343539651,0.01285847343539651,1,1,0.0,1014
4,0.4078170146225707,0.4078170146225707,3.8162428858761155,3.8162428858761155,24.007889546351077,24.007889546351077,521,521,0.01136470367239598,0.01136470367239598,1,1,0.0,1014
5,0.4541004802364241,0.4541004802364241,3.58282368655214,3.58282368655214,29.392504930966457,29.392504930966457,527,527,0.0720212800888223,0.0720212800888223,1,1,0.0,1014
6,0.5034010986190256,0.5034010986190256,3.4672025016014687,3.4672025016014687,34.34911242603549,34.34911242603549,532,532,0.041743882953446595,0.041743882953446595,1,1,0.0,1014
7,0.49621056010828213,0.49621056010828213,3.5215453541826083,3.5215453541826083,34.38067061143975,34.38067061143975,777,777,0.0663847485511722,0.0663847485511722,1,1,0.0,1014
8,0.49729174565741835,0.49729174565741835,3.473505182139095,3.473505182139095,35.053254437869874,35.053254437869874,945,945,0.0451956339364294,0.0451956339364294,1,1,0.0,1014
9,0.4964198414853954,0.4964198414853954,3.37221836052423,3.37221836052423,35.54043392504933,35.54043392504933,1114,1114,0.07766089313799829,0.07766089313799829,1,1,0.0,1014
10,0.4995725239270544,0.4995725239270544,3.312491846625038,3.312491846625038,36.4122287968442,36.4122287968442,1232,1232,1.011476138534981,1.011476138534981,1,1,0.0,1014
11,0.4954503433319185,0.4954503433319185,3.4212184403542896,3.4212184403542896,36.43392504930965,36.43392504930965,1476,1476,1.3993152628702545,1.3993152628702545,1,1,0.0,1014
12,0.4858393599805271,0.4858393599805271,3.350064545523578,3.350064545523578,36.46153846153841,36.46153846153841,1673,1673,1.6712148890399874,1.6712148890399874,1,1,0.0,1014
13,0.4844421368893436,0.4844421368893436,3.322205801892946,3.322205801892946,36.50887573964501,36.50887573964501,1855,1855,1.5681937809193305,1.5681937809193305,1,1,0.0,1014
14,0.48214266196931665,0.48214266196931665,3.227632493560051,3.227632493560051,36.617357001972394,36.617357001972394,1990,1990,1.3720406203345001,1.3720406203345001,1,1,0.0,1014
15,0.46909645513690995,0.46909645513690995,3.149881909924434,3.149881909924434,37.64299802761344,37.64299802761344,1992,1992,1.6014808475240658,1.6014808475240658,1,1,0.0,1014
16,0.44734085507948596,0.44734085507948596,3.1094197522931672,3.1094197522931672,38.414201183431956,38.414201183431956,2048,2048,1.5584201643739253,1.5584201643739253,1,1,0.0,1014
17,0.4323618378735462,0.4323618378735462,3.0884614411078077,3.0884614411078077,39.28796844181463,39.28796844181463,2060,2060,1.476962325038916,1.476962325038916,1,1,0.0,1014
18,0.431988907917661,0.431988907917661,3.0143927755743385,3.0143927755743385,39.89743589743592,39.89743589743592,2086,2086,1.4571203898577771,1.4571203898577771,1,1,0.0,1014
19,0.4254116176890915,0.4254116176890915,3.0587179292472024,3.0587179292472024,39.928994082840205,39.928994082840205,2087,2087,1.6178265691486928,1.6178265691486928,1,1,0.0,1014
20,0.4124515651302893,0.4124515651302893,3.0425980984869283,3.0425980984869283,39.94082840236688,39.94082840236688,2116,2116,1.6016888007989207,1.6016888007989207,1,1,0.0,1014
21,0.40503166128631735,0.40503166128631735,3.037152130781108,3.037152130781108,39.95660749506903,39.95660749506903,2115,2115,1.5140769408969896,1.5140769408969896,1,1,0.0,1014
22,0.4041683872762636,0.4041683872762636,3.003670235654441,3.003670235654441,39.98027613412233,39.98027613412233,2128,2128,1.489878325528486,1.489878325528486,1,1,0.0,1014
23,0.3972445265872711,0.3972445265872711,2.983299941003639,2.983299941003639,39.98224852071003,39.98224852071003,2131,2131,1.641371367646999,1.641371367646999,1,1,0.0,1014
24,0.3922043147255273,0.3922043147255273,3.0056543046899185,3.0056543046899185,39.98619329388562,39.98619329388562,2155,2155,1.6443727951105667,1.6443727951105667,1,1,0.0,1014
25,0.3887191174833415,0.3887191174833415,3.063017070003174,3.063017070003174,39.99013806706116,39.99013806706116,2164,2164,1.5407306550692974,1.5407306550692974,1,1,0.0,1014
26,0.39038799766474386,0.39038799766474386,3.045236384593967,3.045236384593967,39.99408284023674,39.99408284023674,2186,2186,1.5087509087848663,1.5087509087848663,1,1,0.0,1014
27,0.38236047965582826,0.38236047965582826,3.0179169806324486,3.0179169806324486,39.998027613412226,39.998027613412226,2188,2188,1.8088284119207985,1.8088284119207985,1,1,0.0,1014
28,0.37349912195957685,0.37349912195957685,3.0061196555235585,3.0061196555235585,39.99802761341225,39.99802761341225,2200,2200,1.8376567515474695,1.8376567515474695,1,1,0.0,1014
29,0.3596312519696201,0.3596312519696201,2.9487432606879795,2.9487432606879795,40.00000000000005,40.00000000000005,2206,2206,1.7838563255387654,1.7838563255387654,1,1,0.0,1014
30,0.36005373314620065,0.36005373314620065,2.9661072721289896,2.9661072721289896,39.99999999999999,39.99999999999999,2228,2228,1.7612339297833002,1.7612339297833002,1,1,0.0,1014
31,0.35332784122048994,0.35332784122048994,2.9660118654727206,2.9660118654727206,40.00000000000005,40.00000000000005,2233,2233,1.9303025287416802,1.9303025287416802,1,1,0.0,1014
32,0.348856714653027,0.348856714653027,2.9443837606188583,2.9443837606188583,40.000000000000064,40.000000000000064,2248,2248,1.9827582749994133,1.9827582749994133,1,1,0.0,1014
33,0.3447752472953957,0.3447752472953957,2.9539069025742273,2.9539069025742273,40.0,40.0,2247,2247,1.8819946418643911,1.8819946418643911,1,1,0.0,1014
34,0.3478238659583163,0.3478238659583163,2.970129928289242,2.970129928289242,39.999999999999865,39.999999999999865,2272,2272,1.8590023422378772,1.8590023422378772,1,1,0.0,1014
35,0.3457663536527137,0.3457663536527137,2.951066120706944,2.951066120706944,40.00000000000004,40.00000000000004,2271,2271,1.960179310241014,1.960179310241014,1,1,0.0,1014
36,0.33877828998928805,0.33877828998928805,2.93737623906961,2.93737623906961,40.00000000000004,40.00000000000004,2275,2275,1.987685741603192,1.987685741603192,1,1,0.0,1014
37,0.3345400436069041,0.3345400436069041,2.921659452755208,2.921659452755208,39.999999999999936,39.999999999999936,2279,2279,1.906755926342631,1.906755926342631,1,1,0.0,1014
38,0.3355848479886469,0.3355848479886469,2.9413502183644185,2.9413502183644185,39.99999999999993,39.99999999999993,2305,2305,1.9282879360682474,1.9282879360682474,1,1,0.0,1014
39,0.33556312013328476,0.33556312013328476,2.9357426434653253,2.9357426434653253,40.00000000000003,40.00000000000003,2311,2311,2.0211924540158037,2.0211924540158037,1,1,0.0,1014
40,0.3309096529340042,0.3309096529340042,2.9346172343362715,2.9346172343362715,40.000000000000036,40.000000000000036,2326,2326,2.0261353997759097,2.0261353997759097,1,1,0.0,1014
41,0.32619804482583203,0.32619804482583203,2.9441617941124356,2.9441617941124356,39.99999999999989,39.99999999999989,2345,2345,1.9341422392011736,1.9341422392011736,1,1,0.0,1014
42,0.3247160991715775,0.3247160991715775,2.941428101349128,2.941428101349128,40.00000000000005,40.00000000000005,2365,2365,2.0449827329328585,2.0449827329328585,1,1,0.0,1014
43,0.3221601915395736,0.3221601915395736,2.931204012531372,2.931204012531372,40.000000000000064,40.000000000000064,2363,2363,2.1157611478793625,2.1157611478793625,1,1,0.0,1014
44,0.3187929061784897,0.3187929061784897,2.912922928945406,2.912922928945406,39.99999999999993,39.99999999999993,2375,2375,2.1247314333732428,2.1247314333732428,1,1,0.0,1014
45,0.31572258054912755,0.31572258054912755,2.926042317719742,2.926042317719742,40.00000000000001,40.00000000000001,2411,2411,2.0918079478684213,2.0918079478684213,1,1,0.0,1014
46,0.31729133450232455,0.31729133450232455,2.9028098233808612,2.9028098233808612,40.00000000000009,40.00000000000009,2438,2438,2.187563547111223,2.187563547111223,1,1,0.0,1014
47,0.3143318542493811,0.3143318542493811,2.9286806038267805,2.9286806038267805,40.00000000000001,40.00000000000001,2428,2428,2.2323391681630533,2.2323391681630533,1,1,0.0,1014
48,0.31204581526554903,0.31204581526554903,2.9282308295900825,2.9282308295900825,39.999999999999986,39.999999999999986,2437,2437,2.252984067134273,2.252984067134273,1,1,0.0,1014
49,0.30929399805941876,0.30929399805941876,2.928676709677545,2.928676709677545,40.00000000000002,40.00000000000002,2483,2483,2.1135574080655672,2.1135574080655672,1,1,0.0,1014
50,0.30810393513359513,0.30810393513359513,2.906176315394935,2.906176315394935,39.99999999999992,39.99999999999992,2499,2499,2.3017469201222687,2.3017469201222687,1,1,0.0,1014
51,0.3064975074924444,0.3064975074924444,2.911871508651826,2.911871508651826,40.000000000000014,40.000000000000014,2476,2476,2.39031548580953,2.39031548580953,1,1,0.0,1014
52,0.30283303658566446,0.30283303658566446,2.946073821387057,2.946073821387057,40.000000000000036,40.000000000000036,2489,2489,2.3642999508566795,2.3642999508566795,1,1,0.0,1014
53,0.30219113946274945,0.30219113946274945,2.9413424300659474,2.9413424300659474,40.00000000000003,40.00000000000003,2541,2541,2.283989485655902,2.283989485655902,1,1,0.0,1014
54,0.30065219603069077,0.30065219603069077,2.9041922463594574,2.9041922463594574,40.0,40.0,2555,2555,2.5062582214915867,2.5062582214915867,1,1,0.0,1014
55,0.30118755598913755,0.30118755598913755,2.936940094355236,2.936940094355236,40.000000000000014,40.000000000000014,2518,2518,2.523621019911765,2.523621019911765,1,1,0.0,1014
