,Clustering Coefficient,Alive Clustering Coefficient,Average Path Length,Alive Average Path Length,Degree,Alive Degree,Unprocessed Messages,Alive Unprocessed Messages,Average Message Latency,Alive Average Message Latency,Partitions,Alive Partitions,Pollution,Alive Agents
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,1000
1,0.008260457739498205,0.008260457739498205,3.296002002002002,3.296002002002002,10.2,10.2,100,100,0.0,0.0,0,0,0.0,1000
2,0.03165980795610425,0.03165980795610425,3.211079079079079,3.211079079079079,11.366000000000005,11.366000000000005,200,200,0.0025,0.0025,0,0,0.0,1000
3,0.06637623359963421,0.06637623359963421,3.0634714714714715,3.0634714714714715,13.402000000000013,13.402000000000013,200,200,0.0055,0.0055,1,1,0.0,1000
4,0.09087824204849775,0.09087824204849775,2.938002002002002,2.938002002002002,15.624,15.624,203,203,0.008,0.008,1,1,0.0,1000
5,0.10874046312407977,0.10874046312407977,2.829187187187187,2.829187187187187,18.164,18.164,209,209,0.0225,0.0225,1,1,0.0,1000
6,0.12170797978111386,0.12170797978111386,2.7423743743743745,2.7423743743743745,20.794000000000008,20.794000000000008,212,212,0.014333333333333333,0.014333333333333333,1,1,0.0,1000
7,0.13345937011796138,0.13345937011796138,2.653865865865866,2.653865865865866,24.088000000000026,24.088000000000026,224,224,0.0315,0.0315,1,1,0.0,1000
8,0.1409250185381741,0.1409250185381741,2.5778698698698697,2.5778698698698697,27.41,27.41,227,227,0.0335,0.0335,1,1,0.0,1000
9,0.14557386897623603,0.14557386897623603,2.5014794794794795,2.5014794794794795,30.922000000000033,30.922000000000033,226,226,0.0495,0.0495,1,1,0.0,1000
10,0.14930085536376742,0.14930085536376742,2.428108108108108,2.428108108108108,34.55800000000002,34.55800000000002,245,245,0.055,0.055,1,1,0.0,1000
11,0.15389771086822024,0.15389771086822024,2.347009009009009,2.347009009009009,39.047999999999966,39.047999999999966,264,264,0.082,0.082,1,1,0.0,1000
12,0.1596936185745165,0.1596936185745165,2.2693373373373373,2.2693373373373373,43.84600000000004,43.84600000000004,268,268,0.08016666666666668,0.08016666666666668,1,1,0.0,1000
13,0.16538627504436987,0.16538627504436987,2.2004204204204205,2.2004204204204205,49.18800000000002,49.18800000000002,286,286,0.11199999999999999,0.11199999999999999,1,1,0.0,1000
14,0.1713358740426439,0.1713358740426439,2.1387247247247245,2.1387247247247245,54.97600000000001,54.97600000000001,317,317,0.11658333333333333,0.11658333333333333,1,1,0.0,1000
